timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,m_ctes_discharge_avail_m3s,m_recirc_m3s,m_oil_hex_m3s,htf_in_temp_C,hex_inlet_temp_C,mix_target_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_inlet_temp_C,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_htf_W,ctes_charge_inferred_W,ctes_charge_input_W,ctes_discharge_output_W,ctes_balance_residual_state_W,ctes_balance_residual_with_loss_W,hex_flow_balance_m3s,module_00_Ts_outlet_C,module_01_Ts_outlet_C,module_02_Ts_outlet_C,module_03_Ts_outlet_C,module_04_Ts_outlet_C,module_05_Ts_outlet_C,module_06_Ts_outlet_C,module_07_Ts_outlet_C,module_08_Ts_outlet_C,module_09_Ts_outlet_C,module_10_Ts_outlet_C,module_11_Ts_outlet_C,module_12_Ts_outlet_C,module_13_Ts_outlet_C,module_00_Tf_zL_C,module_01_Tf_zL_C,module_02_Tf_zL_C,module_03_Tf_zL_C,module_04_Tf_zL_C,module_05_Tf_zL_C,module_06_Tf_zL_C,module_07_Tf_zL_C,module_08_Tf_zL_C,module_09_Tf_zL_C,module_10_Tf_zL_C,module_11_Tf_zL_C,module_12_Tf_zL_C,module_13_Tf_zL_C,module_00_Ts_avg_C,module_01_Ts_avg_C,module_02_Ts_avg_C,module_03_Ts_avg_C,module_04_Ts_avg_C,module_05_Ts_avg_C,module_06_Ts_avg_C,module_07_Ts_avg_C,module_08_Ts_avg_C,module_09_Ts_avg_C,module_10_Ts_avg_C,module_11_Ts_avg_C,module_12_Ts_avg_C,module_13_Ts_avg_C,T_con_avg_K,ex_stored_J,dex_stored_dt_W,Q_loss_W,X_loss_W,ex_in_W,ex_out_W,ex_dest_W,config
2026-07-13 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006615360190764,0.0,0.021,0.0143846398092359,0.021,172.1329369448462,213.0634759838579,182.0,,172.1329369448462,135.32148066936918,1410248.991221466,1410.2489912214662,0.0,0.0,1410248.991221466,1410.2489912214662,0.0,196.93232126439952,False,1840878.2044686407,1840.878204468641,D*,-430629.2132471751,239404537363.14307,66.50126037865085,44.37417542577439,173.8641681215697,297.9239293071975,302.5888678510815,182.4706390289581,175.1419097130295,1410248.991221466,1410.2489912214662,430629.2132471751,430.6292132471751,0.0,3.627792872372084e-06,-5.3320561200346,-85.17434921178899,0.0,85174.349211789,0.0,1410248.991221466,0.0,85174.349211789,0.0,293.56427026557645,281.8794419886584,265.44329701402035,244.97577591474453,222.78827837482723,201.4201109473505,182.80255020584104,167.94662587259674,157.09546094986936,150.16886241291766,147.3767053290688,149.84535757740736,159.40759842469674,175.1419097130295,287.8352129695933,273.92198485147657,255.53281305110525,234.20361184057725,212.37805675809,192.31852613050563,175.51949573515745,162.62222607271448,153.7129969590113,148.84220752320854,148.60055194331198,154.2489632569771,165.65183292523594,173.94153289258443,298.21664875092813,287.98102703558067,273.940601259335,255.29753566976208,233.731922630922,211.76156767552465,191.66600360647777,174.91262905113553,162.09382079485476,153.24168125199492,148.36641571732633,148.10304062808908,154.05813524615496,167.04678686255374,477.4655582986171,122349663745.33112,-610890.4700612895,85174.349211789,32879.7699746833,335890.4813618238,935872.095651416,0.0,discharging
2026-07-13 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066333099864088,0.0,0.021,0.0143666900135911,0.021,172.0738970220585,213.0066100238706,182.0,,172.0738970220585,135.32431514384405,1410509.8873355612,1410.5098873355612,0.0,0.0,1410509.8873355612,1410.5098873355612,0.0,196.93449532186008,False,1840878.2044686407,1840.878204468641,D*,-430368.31713308,238558231430.74173,66.26617539742826,44.217310696634826,173.799047148338,297.54334051530543,302.266107632273,181.9901622022998,175.0510133417415,1410509.8873355612,1410.5098873355612,430368.31713308,430.36831713308,0.0,3.627792872372084e-06,-5.346227572353493,-85.02871391336603,0.0,85028.71391336604,0.0,1410509.8873355612,0.0,85028.71391336604,0.0,293.1620028948664,281.3345750180648,264.77586023643346,244.2571193004464,222.0972508961076,200.8170463096199,182.31944013280744,167.5918517071107,156.86778074569597,150.07587439738455,147.44989352860054,150.1210701637269,159.790095604351,175.0510133417415,287.34632723773274,273.29165173586506,254.8095360064173,233.4664535413171,211.70060375917305,191.7497796594058,175.08102559446718,162.31789905242593,153.54557167254774,148.82974985976972,148.77405674819616,154.58444614165393,165.91546344406677,173.87465515091546,297.85708336363365,287.5079256356651,273.3278186418904,254.59623068649216,233.0201859024918,211.11047511972728,191.1216804712573,174.49420765166423,161.80335601721467,153.08083709710186,148.35444402466968,148.27904968513596,154.41076823072476,167.27857048418724,477.16733092941826,121983282912.81087,-610634.7208670807,85028.71391336604,32790.92253910642,336572.2949593209,936303.863548515,0.0,discharging
2026-07-13 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066515897151285,0.0,0.021,0.0143484102848714,0.021,172.01414443987454,212.9490583680295,182.0,,172.01414443987454,135.32717546294214,1410773.1622898355,1410.7731622898357,0.0,0.0,1410773.1622898355,1410.7731622898357,0.0,196.9366963440372,False,1840878.2044686407,1840.878204468641,D*,-430105.0421788057,237711767533.36783,66.03104653704662,44.06041668832838,173.73311416807988,297.1577760312135,301.93969130251367,181.51264402062225,174.9615459675845,1410773.1622898355,1410.7731622898357,430105.0421788057,430.10504217880566,0.0,3.627792872372084e-06,-5.360374748513647,-84.88305696091795,0.0,84883.05696091795,0.0,1410773.1622898355,0.0,84883.05696091795,0.0,292.7541367972132,280.7842556540943,264.1049197112546,243.5373764420869,221.40719491345212,200.21627287913117,181.83927438269785,167.2403979111466,156.64406633024342,149.98814787214832,147.52949605605195,150.40033856679185,160.16479152471717,174.9615459675845,286.85115461248097,272.65612847346455,254.083413238448,232.7288978004855,211.0246358508734,191.18365008879528,174.6457870173617,162.01738640951987,153.38298958576982,148.82341281004835,148.95306700498062,154.91899428562834,166.16982121996364,173.80710590126534,297.4930011871853,287.0291235433844,272.7105644478617,253.89273720815177,232.30854791703268,210.46116660289687,190.58008588153743,174.07896755425514,161.51651968597056,152.92457029500838,148.34841260677905,148.4605544514385,154.76165642971807,167.50092008511805,476.8690591354527,121617055816.99052,-610378.493033905,84883.05696091795,32702.132928635438,337266.87649899034,936744.5786881323,0.0,discharging
2026-07-13 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066702086397226,0.0,0.021,0.0143297913602773,0.021,171.95366666875347,212.8908089746414,182.0,,171.95366666875347,135.33006320314513,1411038.9611898295,1411.0389611898297,0.0,0.0,1411038.9611898295,1411.0389611898297,0.0,196.9389248187997,False,1840878.2044686407,1840.878204468641,D*,-429839.2432788117,236865144156.65396,65.79587337684832,43.9034931201636,173.66635430030007,296.7671388643487,301.60953583824426,181.03810298440183,174.87337841901163,1411038.9611898295,1411.0389611898297,429839.2432788117,429.8392432788117,0.0,3.627792872372084e-06,-5.374497644815426,-84.7373778106755,0.0,84737.37781067549,0.0,1411038.9611898295,0.0,84737.37781067549,0.0,292.34062919957546,280.2285010762157,263.43051756315487,242.8165910565224,220.71814280400363,199.61781125831487,181.36207171281143,166.89229722964714,156.42437463868708,149.90573544804934,147.61544807774624,150.6828750795839,160.5316055063152,174.87337841901163,286.34967305985,272.0154305641435,253.3544780722818,231.9909763472,210.35017555925333,190.62015543277084,174.2138070095373,161.7207395588758,153.22531764492146,148.8232090255234,149.13742675635245,155.25236059664456,166.41504619426806,173.73886242614066,297.12432325860374,286.54460950712775,272.0888673280102,253.18709570025996,231.59704302679935,209.8136642732481,190.04123520500087,173.66693096659174,161.23335560473544,152.77294101042628,148.3483294728795,148.6473794556668,155.1105494626478,167.71406096264684,476.5707418024746,121250982835.30295,-610121.6361459605,84737.37781067549,32613.400977252237,337974.5914621879,937194.531162982,0.0,discharging
2026-07-13 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006689176230766,0.0,0.021,0.0143108237692339,0.021,171.89245136580965,212.8318499827296,182.0,,171.89245136580965,135.33298199120293,1411307.617855784,1411.307617855784,0.0,0.0,1411307.617855784,1411.307617855784,0.0,196.94118122807757,False,1840878.2044686407,1840.878204468641,D*,-429570.5866128572,236018359585.9405,65.56065544053902,43.74653967432442,173.5987528275218,296.3713332499449,301.2755574603034,180.56655819588943,174.78638804131177,1411307.617855784,1411.307617855784,429570.5866128572,429.5705866128572,0.0,3.627792872372084e-06,-5.388596257465081,-84.59167589792604,0.0,84591.67589792603,0.0,1411307.617855784,0.0,84591.67589792603,0.0,291.9214375630992,279.66732834125787,262.75269534691074,242.09480609993963,220.03012633684585,199.0216819230687,180.88785147296812,166.5475835580511,156.20876260007103,149.8286871077019,147.70767900333823,150.96839493005976,160.8904703792767,174.78638804131177,285.84184296798577,271.36957324349146,252.62276333996812,231.25272045623396,209.6772453154693,190.0593142665868,173.78511415350707,161.428010198913,153.07261229968512,148.829148632362,149.3269762415031,155.58430561070128,166.6512798536419,173.6699026019156,296.7509713120925,286.05437268436447,271.4627557922616,252.4793461737165,230.88570509906327,209.16799008668457,189.50514418597336,173.25812112157752,160.95390848051724,152.626008452035,148.35419786180967,148.8393459938384,155.45720748034122,167.91821410229278,476.2723777733263,120885064386.55594,-609864.0812450155,84591.67589792603,32524.726507719693,338695.8139920136,937654.0241322669,0.0,discharging
2026-07-13 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067085021313194,0.0,0.021,0.0142914978686805,0.021,171.83048653541388,212.77216986672013,182.0,,171.83048653541388,135.3359345233189,1411579.3804567973,1411.5793804567973,0.0,0.0,1411579.3804567973,1411.5793804567973,0.0,196.9434660419464,False,1840878.2044686407,1840.878204468641,D*,-429298.8240118439,235171411957.6664,65.32539221046288,43.58955600539558,173.5302953700015,295.9702610559628,300.93767158373714,180.0980294032887,174.70045834413378,1411579.3804567973,1411.5793804567973,429298.8240118439,429.2988240118439,0.0,3.627792872372084e-06,-5.402670582572783,-84.44595064621448,0.0,84445.95064621448,0.0,1411579.3804567973,0.0,84445.95064621448,0.0,291.49651985219043,279.100754377064,262.0714940560842,241.37206379155623,219.34317671038585,198.42790527303157,180.4166336438152,166.20629190191076,155.9972885027047,149.75705009979373,147.80611261804287,151.25661656362408,161.24133173368975,174.70045834413378,285.32763031660176,270.7185715212212,251.8883014483092,230.5141610333853,209.005867559966,189.50114587021875,173.3597382386457,161.13925052266185,152.9249538211531,148.84123618163832,149.52155212165212,155.9145974475299,166.87866486712576,173.60020503879178,296.3728676411407,285.55840262844504,270.8322581985795,251.7695281883629,230.17456753497837,208.52416584052185,188.9718289880622,172.85256228017704,160.67822417182185,152.48383086524552,148.3660162389406,149.03627243313986,155.8014009898333,168.11359613570866,475.9739658667827,120519300941.15955,-609605.7423273213,84445.95064621448,32436.10933723334,339430.9256502933,938123.3480356946,0.0,discharging
2026-07-13 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067281963359452,0.0,0.021,0.0142718036640547,0.021,171.7677598678054,212.7117567994493,182.0,,171.7677598678054,135.33892344824866,1411854.492794698,1411.8544927946982,0.0,0.0,1411854.492794698,1411.8544927946982,0.0,196.9457797430244,False,1840878.2044686407,1840.878204468641,D*,-429023.7116739431,234324299261.9896,65.09008312833043,43.432541740848265,173.46096716829436,295.5638248502762,300.59579285952304,179.6325370329995,174.6154786298254,1411854.492794698,1411.8544927946982,429023.7116739431,429.0237116739431,0.0,3.627792872372084e-06,-5.416720616150515,-84.30020146639065,0.0,84300.20146639064,0.0,1411854.492794698,0.0,84300.20146639064,0.0,291.0658346539186,278.52879596522405,261.3869541191603,240.6484056246259,218.6573245784657,197.83650166874435,179.9484388722135,165.86845854974348,155.79001064074282,149.6908688268326,147.9106672243072,151.54726191311696,161.58414720158237,174.6154786298254,284.8070034239236,270.0624399873608,251.1511241713661,229.7753284203335,208.33606458512256,188.94567005104156,172.93771026728143,160.8545168196307,152.78239971880706,148.8594720002847,149.72098777016302,156.24301189257778,167.09734486102096,173.52974837890218,295.989935171019,285.05668925562884,270.1974027344485,251.0576808485708,229.4636632809573,207.8822132001736,188.4413062275323,172.45027979055183,160.4063495823675,152.34646537979054,148.38377830014173,149.23797451173166,156.14291067479877,168.30041930068995,475.67550487560015,120153693018.56587,-609346.5376561228,84300.20146639064,32347.54927687898,340180.32178850786,938602.8217554573,0.0,discharging
2026-07-13 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067482690603687,0.0,0.021,0.0142517309396312,0.021,171.70425939207286,212.65059928108707,182.0,,171.70425939207286,135.34195304780667,1412133.348984426,1412.133348984426,0.0,0.0,1412133.348984426,1412.133348984426,0.0,196.9481228024134,False,1840878.2044686407,1840.878204468641,D*,-428744.8554842153,233477019252.5989,64.85472757016636,43.27549646432361,173.3907537806349,295.15192751055906,300.2498352498892,179.17010225064402,174.53134367976725,1412133.348984426,1412.133348984426,428744.8554842153,428.7448554842153,0.0,3.627792872372084e-06,-5.430746354107255,-84.15442774044052,0.0,84154.42774044053,0.0,1412133.348984426,0.0,84154.42774044053,0.0,290.6293411479755,277.95146972966165,260.69911540316684,239.9238723857051,217.97260008412465,197.2474914770135,179.48328853420975,165.53412088926788,155.58698652070493,149.6301847432814,148.02125578817856,151.840056646355,161.9188857549079,174.53134367976725,284.2799306470434,269.401192902131,250.4112627823341,229.0362525548044,207.66785869918064,188.39290732970412,172.51906296314527,160.5738633975283,152.64499486549846,148.8838519101114,149.9251134889362,156.56933229101247,167.3074639540103,173.4585119312799,295.6020974663703,284.54922281224447,269.55821740063925,250.34384280173305,228.75302484316293,207.24215372858143,187.91359301620216,172.05130009183756,160.13833217803617,152.21396789863002,148.40747298265367,149.44426563053864,156.4815272051483,168.47889141187596,475.37699353340383,119788241154.32579,-609086.4404001363,84154.42774044053,32259.046121858613,340944.40739609237,939092.7711766869,0.0,discharging
2026-07-13 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067687307646679,0.0,0.021,0.014231269235332,0.021,171.63997331658803,212.588685985459,182.0,,171.63997331658803,135.3450259648557,1412416.1922854106,1412.4161922854105,0.0,0.0,1412416.1922854106,1412.4161922854105,0.0,196.9504956855873,False,1840878.2044686407,1840.878204468641,D*,-428462.0121832306,232629569537.2277,64.61932487145212,43.11841973240952,173.3196409199492,294.7344718981888,299.8997120768593,178.7107469864671,174.44795345115992,1412416.1922854106,1412.4161922854105,428462.0121832306,428.4620121832306,0.0,3.627792872372084e-06,-5.444747792246831,-84.00862883745992,0.0,84008.62883745992,0.0,1412416.1922854106,0.0,84008.62883745992,0.0,290.1869990757313,277.3687921265715,260.0080172189643,239.1985041756626,217.2890328953712,196.6608951198961,179.02120475167058,165.2033173556632,155.38827501855724,149.5750362586223,148.13778609007892,152.13473039403158,162.24552703348823,174.44795345115992,283.74638043100214,268.7348442034956,249.66874808047672,228.2969630138876,207.0012722890949,187.84287904172723,172.1038300223445,160.29734490475667,152.5128207744531,148.9143669129781,150.13375672756715,156.89334947375556,167.50916655755017,173.38647549742385,295.20927871052504,284.0359938467318,268.91472999909865,249.62805224134036,228.04268430657075,206.60400892060295,187.38870699882037,171.65565068531814,159.87422042043403,152.0863930344934,148.43708448172688,149.65495713543532,156.81705103793684,168.64921584457986,475.078430547401,119422945927.40352,-608825.3782037862,84008.62883745992,32170.599661255932,341723.5975496151,939593.529632004,0.0,discharging
2026-07-13 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067895921805822,0.0,0.021,0.0142104078194177,0.021,171.57489000044606,212.52600573254855,182.0,,171.57489000044606,135.34814415106734,1412703.202337138,1412.7032023371378,0.0,0.0,1412703.202337138,1412.7032023371378,0.0,196.9528988534547,False,1840878.2044686407,1840.878204468641,D*,-428175.0021315033,231781947615.82535,64.38387433772927,42.96131108171598,173.24761441902157,294.3113608354211,299.5453360612735,178.254493961962,174.36521278875233,1412703.202337138,1412.7032023371378,428175.0021315033,428.1750021315033,0.0,3.627792872372084e-06,-5.458724926266634,-83.86280411881994,0.0,83862.80411881994,0.0,1412703.202337138,0.0,83862.80411881994,0.0,289.738768708426,276.78077943316293,259.31369832535967,238.47234042972087,216.6066522404317,196.0767331171634,178.56221043260328,164.8760877124858,155.19393515700963,149.52545864333683,148.26016088040285,152.43101696123645,162.56406069712983,174.36521278875233,283.2063212597816,268.06340747602087,248.9236103755003,227.55748901768467,206.3363278463346,187.29560727273247,171.69204656739828,160.02502187575325,152.38593793122482,148.95100370654382,150.34674231412905,157.2148617175246,167.7025970973427,173.31361931831836,294.81140368291256,283.5169931815743,268.2669681205889,248.9103469098915,227.33267335410304,205.9678002362506,186.86666638781276,171.26336022206868,159.61406384622725,151.9637939811981,148.4725922732672,149.86985859178836,157.14929221318417,168.81159152458136,474.77981460896063,119057807967.73874,-608563.2661079661,83862.80411881994,32082.209681206135,342518.31857239665,940105.4405281082,0.0,discharging
2026-07-13 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068108643239611,0.0,0.021,0.0141891356760388,0.021,171.50899796029805,212.4625474950873,182.0,,171.50899796029805,135.35131062857033,1412994.657308146,1412.994657308146,0.0,0.0,1412994.657308146,1412.994657308146,0.0,196.95533276211577,False,1840878.2044686407,1840.878204468641,D*,-427883.5471604951,230934150821.4405,64.14837522817791,42.80417001791743,173.17466023641364,293.882497077046,299.1866193577636,177.8013667658758,174.28303115321282,1412994.657308146,1412.994657308146,427883.5471604951,427.8835471604951,0.0,3.627792872372084e-06,-5.472677751754563,-83.71695292756814,0.0,83716.95292756814,0.0,1412994.657308146,0.0,83716.95292756814,0.0,289.284610814732,276.18744773585064,258.616196932888,237.7454199374328,215.9254869424821,195.4950261331708,178.1063293483681,164.5524729041226,155.0040260187965,149.4814839420171,148.3882780292864,152.7286541670412,162.87448580165426,174.28303115321282,282.6597216144538,267.3868959309849,248.1758794868261,226.8178594489404,205.6730479937096,186.7511149808188,171.28374980199598,159.75695345871046,152.26440635641117,148.9937443338966,150.56389250812458,157.53366859941843,167.88789976254068,173.23992406111304,294.40839773501324,282.9922118849592,267.6149591321625,248.19076410183249,226.62302328583425,205.333549134275,186.347490013126,170.8744585374531,159.35791281025757,151.84622241659565,148.51397113955716,150.08877795075338,157.4780701400007,168.96621292488078,474.48114437190725,118692827934.54486,-608300.0553231303,83716.95292756814,31993.87595850652,343329.008575411,940628.8578036048,0.0,discharging
2026-07-13 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068325585077848,0.0,0.021,0.0141674414922151,0.021,171.44228587131502,212.3983003994917,182.0,,171.44228587131502,135.35452834717404,1413290.828710429,1413.290828710429,0.0,0.0,1413290.828710429,1413.290828710429,0.0,196.95779786283555,False,1840878.2044686407,1840.878204468641,D*,-427587.3757582123,230086176324.21423,63.912826756726176,42.64699601649312,173.10076445659314,293.4477832820815,298.8234735859114,177.35138988695888,174.20132236497292,1413290.828710429,1413.290828710429,427587.3757582123,427.5873757582123,0.0,3.627792872372084e-06,-5.486606264186035,-83.57107458883448,0.0,83571.07458883448,0.0,1413290.828710429,0.0,83571.07458883448,0.0,288.8244866279008,275.5888129181822,257.91555070758534,237.01778086283545,215.24556545557363,194.91579502828776,177.65358615622364,164.23251505061063,154.81860662529408,149.4431408882239,148.52203065052004,153.02738448896818,163.1768101987448,174.20132236497292,282.1065499340032,266.7053223903968,247.4255847474039,226.0781028760855,205.0114555408837,186.20942611836455,170.87897812858589,159.49319999914175,152.14828407263653,149.04256620257377,150.78502671192794,157.84958486127644,168.06521826757103,173.16537080145872,294.0001867651256,282.4616412425484,266.9587301649609,247.46934066704185,225.91376503902492,204.70127710853924,185.83119736476,170.48897664234374,159.10581842785328,151.7337284078413,148.56119119011075,150.31152186635515,157.80321339114113,169.11327006929062,474.1824184533526,118328006514.8751,-608035.69944959,83571.07458883448,31905.598260916002,344156.11799849523,941164.1464091333,0.0,discharging
2026-07-13 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068546863558375,0.0,0.021,0.0141453136441624,0.021,171.37474256929588,212.3332537279019,182.0,,171.37474256929588,135.3577996995143,1413591.936771545,1413.5919367715453,0.0,0.0,1413591.936771545,1413.5919367715453,0.0,196.9602946019749,False,1840878.2044686407,1840.878204468641,D*,-427286.2676970959,229238021162.1513,63.67722810059759,42.48978852843048,173.02591329118573,293.00712198376857,298.45580985774643,176.90458874811586,174.12000436271293,1413591.936771545,1413.5919367715453,427286.2676970959,427.2862676970959,0.0,3.627792872372084e-06,-5.500510458921808,-83.42516841464088,0.0,83425.16841464088,0.0,1413591.936771545,0.0,83425.16841464088,0.0,288.3583578125395,274.9848906485693,257.2117967748217,236.28946076505656,214.5669159015956,194.33906090390911,177.20400643970558,163.91625743591237,154.63773583189422,149.4104548231236,148.66130733787645,153.32695546094135,163.47104995909157,174.12000436271293,281.5467745764032,266.01869927173584,246.67275500852327,225.33824758104208,204.35157353726908,185.67056557071885,170.4777715133811,159.23382281603892,152.03762732802434,149.0974420658369,151.009963535947,158.16243629075487,168.23469563440776,173.0899410079364,293.58669719201947,281.9252727294144,266.29830810241,246.7461130149844,225.20492920928805,204.0710057242039,185.31780863021183,170.10694673858185,158.8578325137126,151.62636031386992,148.61421791260037,150.5378961031731,158.12455948282664,169.25294854235602,473.88363544354655,117963344430.40096,-607770.1407902527,83425.16841464088,31817.376350115348,345000.1101832574,941711.6828078832,0.0,discharging
2026-07-13 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068772598171026,0.0,0.021,0.0141227401828973,0.021,171.3063570526049,212.26739692005648,182.0,,171.3063570526049,135.361127203007,1413898.213204295,1413.898213204295,0.0,0.0,1413898.213204295,1413.898213204295,0.0,196.96282342092724,False,1840878.2044686407,1840.878204468641,D*,-426979.9912643463,228389682234.22876,63.44157839839687,42.33254697894787,172.95009308003995,292.5604155575244,298.0835388016947,176.46098974479608,174.0389989756501,1413898.213204295,1413.898213204295,426979.9912643463,426.9799912643463,0.0,3.627792872372084e-06,-5.51439033120549,-83.27923370208579,0.0,83279.2337020858,0.0,1413898.213204295,0.0,83279.2337020858,0.0,287.8861864310315,274.37569636785264,256.5049717232578,235.5604966193655,213.8895661070152,193.76484515031123,176.75761674776066,163.60374449634733,154.46147223738757,149.3834476337394,148.80599236151747,153.6271194611683,163.75722881836282,174.0389989756501,280.980363779542,265.32703857296553,245.917418645764,224.5983215871605,203.69342530453855,185.1345592542769,170.08017149209164,158.97888420146168,151.93249071779528,149.15834027536258,151.2385202769832,158.47204986468404,168.3964739973847,173.01361652728676,293.1678559275098,281.3830979821436,265.63371956882884,246.02111711958065,224.4965460725145,203.44275665415597,184.80734473537248,169.7284022328289,158.61400752593184,151.5241646934974,148.67301223882413,150.76770572814004,158.44195464574037,169.3854295051518,473.58479390215854,117598842432.61781,-607503.3296385702,83279.2337020858,31729.209980652333,345861.4619756602,942271.855500417,0.0,discharging
2026-07-13 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069002911809467,0.0,0.021,0.0140997088190532,0.021,171.23711848408075,212.20071957513863,182.0,,171.23711848408075,135.3645144410573,1414209.9878393046,1414.2099878393046,0.0,0.0,1414209.9878393046,1414.2099878393046,0.0,196.96538475605607,False,1840878.2044686407,1840.878204468641,D*,-426668.2166293366,227541156241.52515,63.20587673375699,42.17527075658269,172.87329029223747,292.10756618677857,297.706570583068,176.02062028237,173.95823170884185,1414209.9878393046,1414.2099878393046,426668.2166293366,426.6682166293366,0.0,3.627792872372084e-06,-5.52824587615925,-83.13326972256107,0.0,83133.26972256106,0.0,1414209.9878393046,0.0,83133.26972256106,0.0,287.4079349096098,273.7612452767261,255.79511160895083,234.830924838561,213.2135436406159,193.1931694948968,176.3144446327574,163.2950217855797,154.2898733555717,149.36213768902806,148.9559657930137,153.92763384370716,164.03537764554878,173.95823170884185,280.4072856219344,264.63035185780546,245.15960356541208,223.85835268577628,203.03703449064375,184.60143416892544,169.68622119118018,158.72844700731702,151.83291446103934,149.22522469876537,151.4705119227982,158.7782598122637,168.5506944139588,172.93637957050666,292.7435903479689,280.83510877109467,264.9649909184565,245.29438852475585,223.7886456076585,202.8165517167816,184.29982738533943,169.353377743254,158.37439629954486,151.42718620804462,148.73753058707177,151.0007552766591,158.75525360357884,169.51088971652004,473.2858923361949,117234501281.63591,-607235.2516365051,83133.26972256106,31641.098893481354,346740.6643618329,942845.0655784729,0.0,discharging
2026-07-13 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006923793093141,0.0,0.021,0.0140762069068589,0.021,171.1670161928997,212.13321145357847,182.0,,171.1670161928997,135.3679640866305,1414527.5067067463,1414.5275067067466,0.0,0.0,1414527.5067067463,1414.5275067067466,0.0,196.96797903863407,False,1840878.2044686407,1840.878204468641,D*,-426350.6977618946,226692439737.5011,62.97012214930586,42.01795922251102,172.79549152703146,291.6484758266756,297.32481492118194,175.58350880937556,173.87763154077726,1414527.5067067463,1414.5275067067466,426350.6977618946,426.35069776189465,0.0,3.627792872372084e-06,-5.5420770887810376,-82.98727573072182,0.0,82987.27573072181,0.0,1414527.5067067463,0.0,82987.27573072181,0.0,286.9235660040933,273.14155232303926,255.0822519596231,234.10078129489247,212.53887585195355,192.6240560507048,175.87451868298402,162.9901358925013,154.12299691080494,149.34653977215686,149.1111036784947,154.22826105977398,164.30553406766876,173.87763154077726,279.827507983243,263.92865024117674,244.3993372112824,223.11836846653327,202.38242511919032,184.07121845066183,169.2959652722101,158.48257381981333,151.73896039475292,149.2980544966565,151.70575214652365,159.080907329092,168.6974989937657,172.85821269281902,292.313828264795,280.28129697280343,264.292148224892,244.5659623506971,223.08125752054585,202.19241291459605,183.7952791038815,168.9819090872825,158.13905223354757,151.3354675517762,148.80772490749345,151.2368489789174,159.06431938522184,169.6295015607171,472.986929218369,116870321761.75539,-606965.8664675395,82987.27573072181,31553.042821445255,347638.22313911066,943431.7273099547,0.0,discharging
