timestamp,target_soc,mode,soc,stored_energy_MWh,exergy_total_MWh,exergy_solid_MWh,exergy_fluid_MWh,loss_ex_conv_kW,loss_ex_rad_kW,loss_ex_total_kW
2026-03-14 00:00:00,0.6,storage,0.0,-0.024806249118048254,12.375181397694249,11.860126262908162,0.5150551347860867,1.5658408032800153,0.17936531169591735,1.7452061149759326
2026-03-14 00:30:00,0.6,storage,0.0,-0.04960507745168485,12.368724714628677,11.85366957984259,0.5150551347860867,1.5648945744845908,0.1792846614953105,1.7441792359799013
2026-03-14 01:00:00,0.6,storage,0.0,-0.07439648722075905,12.362271393152321,11.847216258366235,0.5150551347860867,1.56394890493418,0.17920405093897024,1.74315295587315
2026-03-14 01:30:00,0.6,storage,0.0,-0.09918048064451485,12.35582143162696,11.840766296840874,0.5150551347860867,1.5630037943053687,0.17912348000554207,1.7421272743109106
2026-03-14 02:00:00,0.6,storage,0.0,-0.12395705994156833,12.349374828415106,11.83431969362902,0.5150551347860867,1.562059242274932,0.1790429486736838,1.7411021909486157
2026-03-14 02:30:00,0.6,storage,0.0,-0.14872622732981863,12.342931581880064,11.827876447093978,0.5150551347860867,1.5611152485198228,0.1789624569220661,1.7400777054418888
2026-03-14 03:00:00,0.6,storage,0.0,-0.17348798502651444,12.33649169038575,11.821436555599664,0.5150551347860867,1.5601718127171809,0.1788820047293731,1.7390538174465542
2026-03-14 03:30:00,0.6,storage,0.0,-0.19824233524820944,12.330055152296918,11.815000017510831,0.5150551347860867,1.5592289345443153,0.17880159207429724,1.7380305266186127
2026-03-14 04:00:00,0.6,storage,0.0,-0.22298928021087472,12.323621965978939,11.808566831192852,0.5150551347860867,1.5582866136787261,0.17872121893554654,1.7370078326142728
2026-03-14 04:30:00,0.6,storage,0.0,-0.24772882212974134,12.31719212979798,11.802136995011894,0.5150551347860867,1.5573448497981046,0.17864088529184172,1.7359857350899464
2026-03-14 05:00:00,0.6,storage,0.0,-0.2724609632193903,12.31076564212092,11.795710507334833,0.5150551347860867,1.5564036425803054,0.17856059112191344,1.7349642337022186
2026-03-14 05:30:00,0.6,storage,0.0,-0.29718570569375274,12.30434250131528,11.789287366529193,0.5150551347860867,1.555462991703371,0.1784803364045052,1.7339433281078762
2026-03-14 06:00:00,0.6,storage,0.0,-0.321903051766109,12.297922705749393,11.782867570963306,0.5150551347860867,1.5545228968455365,0.1784001211183751,1.7329230179639117
2026-03-14 06:30:00,0.6,storage,0.0,-0.34661300364906794,12.291506253792225,11.776451119006138,0.5150551347860867,1.5535833576852094,0.17831994524229164,1.731903302927501
2026-03-14 07:00:00,0.6,storage,0.0,-0.3713155635545648,12.285093143813556,11.77003800902747,0.5150551347860867,1.5526443739009703,0.17823980875503365,1.730884182656004
2026-03-14 07:30:00,0.6,storage,0.0,-0.3960107336939076,12.278683374183785,11.763628239397699,0.5150551347860867,1.5517059451715873,0.17815971163539462,1.729865656806982
2026-03-14 08:00:00,0.6,charging,0.013372814699579925,1.8954337312012255,13.133894996219647,12.382953323091026,0.7509416731286208,1.6437658790208483,0.1858774840220557,1.8296433630429039
2026-03-14 08:30:00,0.6,charging,0.030646140832984118,4.346426557262239,13.8809951914351,13.088811464699857,0.7921837267352413,1.7510404521866751,0.19463651494664277,1.9456769671333178
2026-03-14 09:00:00,0.6,charging,0.04791372719771295,6.797181836632275,14.66134140281398,13.827262822267041,0.8340785805469383,1.8652883991065363,0.20380398916412065,2.069092388270657
2026-03-14 09:30:00,0.6,charging,0.06516967899431923,9.246709172287765,15.465992498317204,14.589493153179186,0.8764993451380172,1.9848421376473788,0.2132868637096377,2.1981290013570165
2026-03-14 10:00:00,0.6,charging,0.08240748882895872,11.693966583926462,16.288632488279067,15.369293646597475,0.91933884168159,2.108464556409116,0.22301396179918312,2.3314785182082987
2026-03-14 10:30:00,0.6,charging,0.09962000414299407,14.137848332553407,17.12467275554262,16.162167668798833,0.9625050867437858,2.2352251429619594,0.23293023983981523,2.468155382801775
2026-03-14 11:00:00,0.6,charging,0.11679941297169623,16.577176880521648,17.970686925127133,16.964768189944746,1.0059187351823862,2.364413335500351,0.2429925787693871,2.6074059142697377
2026-03-14 11:30:00,0.6,charging,0.13393724663970152,19.010698488198372,18.82404293775528,17.7745337855268,1.0495091522284798,2.4954774333532694,0.2531666884765037,2.748644121829773
2026-03-14 12:00:00,0.6,charging,0.15102439751229121,21.43708193705192,19.682660640568155,18.589447833138962,1.093212807429196,2.6279812117343844,0.26342482816614204,2.891406039900527
2026-03-14 12:30:00,0.6,charging,0.16805115034252666,23.854919975267954,20.544848652712457,19.407876254185766,1.1369723985266915,2.761572902730166,0.2737441260770166,3.0353170288071825
2026-03-14 13:00:00,0.6,charging,0.18500722548563558,26.26273308209448,21.40919141769058,20.22845649029398,1.1807349273966006,2.8959628788261043,0.2841053398978291,3.1800682187239335
2026-03-14 13:30:00,0.6,charging,0.20188183225667097,28.65897517845984,22.274471306959086,21.050020565009167,1.2244507419499173,3.030907504341449,0.29449194161984393,3.325399445961293
2026-03-14 14:00:00,0.6,charging,0.21866373077085213,31.042040945373458,23.139614370871502,21.87154121415395,1.2680731567175492,3.166197387760838,0.3048894415775502,3.4710868293383883
2026-03-14 14:30:00,0.6,charging,0.23534130056958372,33.410274426643056,24.003652252840162,22.69209386204423,1.3115583907959296,3.3016487936078374,0.3152848890692377,3.616933682677075
2026-03-14 15:00:00,0.6,charging,0.25190261474797165,35.76197866722374,24.865693555338762,23.51082964420607,1.3548639111326928,3.437097339203966,0.3256665037769147,3.7627638429808807
2026-03-14 15:30:00,0.6,charging,0.2683355176839672,38.09542606453912,25.724905438091014,24.32695619900039,1.3979492390906274,3.572393349673842,0.3360234039496532,3.908416753623495
2026-03-14 16:00:00,0.6,charging,0.28462770540343724,40.40886925301629,26.5804992095413,25.13972401444386,1.4407751950974403,3.707398429016586,0.3463454067399257,4.053743835756512
2026-03-14 16:30:00,0.6,charging,0.3007668068845962,42.70055224720606,27.431720485359303,25.948416757602924,1.4833037277563752,3.841982923453292,0.356622882078274,4.1986058055315665
2026-03-14 17:00:00,0.6,charging,0.31674046539437106,44.968721687479174,28.277842805668893,26.75234451341734,1.525498292251551,3.976024048554632,0.3668466467312359,4.3428706952858676
2026-03-14 17:30:00,0.6,charging,0.3325364184614342,47.21163796879272,29.11816219757401,27.550839143072743,1.567323054501265,4.109404509215947,0.3770078882664214,4.486412397482368
2026-03-14 18:00:00,0.6,storage,0.33226221759810937,47.17270798970232,29.103910021928957,27.53658696742769,1.567323054501265,4.106982160573035,0.3768244600117212,4.483806620584756
2026-03-14 18:30:00,0.6,storage,0.33198809876608065,47.13378965709828,29.089664772324085,27.522341717822815,1.567323054501265,4.104561205509487,0.3766411293293014,4.481202334838788
2026-03-14 19:00:00,0.6,storage,0.33171406194080266,47.09488296749585,29.07542644568449,27.508103391183223,1.567323054501265,4.1021416432467666,0.37645789616316017,4.478599539409927
2026-03-14 19:30:00,0.6,storage,0.3314401070977381,47.05598791741122,29.06119503893647,27.493871984435206,1.567323054501265,4.099723473006752,0.3762747604573301,4.475998233464082
2026-03-14 20:00:00,0.6,storage,0.3311662342123564,47.017104503361665,29.04697054900752,27.479647494506253,1.567323054501265,4.097306694011739,0.37609172215587744,4.473398416167617
2026-03-14 20:30:00,0.6,storage,0.3308924432601347,46.97823272186556,29.032752972826312,27.465429918325047,1.567323054501265,4.094891305484439,0.37590878120290255,4.470800086687341
2026-03-14 21:00:00,0.6,storage,0.33061873421655735,46.93937256944225,29.018542307322726,27.45121925282146,1.567323054501265,4.092477306647983,0.3757259375425399,4.468203244190523
2026-03-14 21:30:00,0.6,storage,0.33034510705711634,46.90052404261212,29.004338549427807,27.43701549492654,1.567323054501265,4.090064696725916,0.37554319111895773,4.4656078878448735
2026-03-14 22:00:00,0.6,storage,0.33007156175731023,46.86168713789668,28.990141696073813,27.422818641572544,1.567323054501265,4.0876534749422,0.3753605418763582,4.4630140168185575
2026-03-14 22:30:00,0.6,storage,0.3297980982926458,46.82286185181833,28.9759517441942,27.408628689692932,1.567323054501265,4.085243640521213,0.37517798975897715,4.46042163028019
2026-03-14 23:00:00,0.6,storage,0.32952471663863686,46.78404818090072,28.96176869072357,27.394445636222304,1.567323054501265,4.082835192687751,0.374995534711085,4.457830727398837
2026-03-14 23:30:00,0.6,storage,0.3292514167708036,46.7452461216683,28.947592532597753,27.380269478096487,1.567323054501265,4.080428130667022,0.3748131766769852,4.455241307344006
2026-03-15 00:00:00,0.6,storage,0.32897819866467554,46.706455670646804,28.933423266753778,27.366100212252512,1.567323054501265,4.078022453684651,0.37463091560101563,4.452653369285667
2026-03-15 00:30:00,0.6,storage,0.3287050622957878,46.66767682436279,28.919260890129802,27.351937835628537,1.567323054501265,4.075618160966682,0.37444875142754774,4.45006691239423
2026-03-15 01:00:00,0.6,storage,0.32843200763968367,46.62890957934399,28.905105399665235,27.33778234516397,1.567323054501265,4.073215251739568,0.37426668410098635,4.447481935840555
2026-03-15 01:30:00,0.6,storage,0.32815903467191326,46.59015393211916,28.890956792300617,27.32363373779935,1.567323054501265,4.070813725230179,0.374084713565771,4.44489843879595
2026-03-15 02:00:00,0.6,storage,0.3278861433680343,46.55140987921803,28.87681506497775,27.309492010476486,1.567323054501265,4.068413580665804,0.373902839766374,4.442316420432179
2026-03-15 02:30:00,0.6,storage,0.32761333370361173,46.512677417171446,28.86268021463954,27.295357160138273,1.567323054501265,4.066014817274139,0.37372106264730204,4.43973587992144
2026-03-15 03:00:00,0.6,storage,0.3273406056542181,46.473956542511246,28.848552238230123,27.281229183728858,1.567323054501265,4.063617434283298,0.37353938215309535,4.437156816436393
2026-03-15 03:30:00,0.6,storage,0.32706795919543274,46.43524725177031,28.83443113269485,27.267108078193584,1.567323054501265,4.06122143092181,0.3733577982283275,4.434579229150137
2026-03-15 04:00:00,0.6,storage,0.32679539430284293,46.39654954148258,28.820316894980184,27.25299384047892,1.567323054501265,4.05882680641862,0.3731763108176062,4.432003117236226
2026-03-15 04:30:00,0.6,storage,0.3265229109520424,46.35786340818303,28.80620952203382,27.238886467532556,1.567323054501265,4.056433560003078,0.37299491986557276,4.42942847986865
2026-03-15 05:00:00,0.6,storage,0.32625050911863346,46.31918884840761,28.792109010804637,27.22478595630337,1.567323054501265,4.054041690904955,0.37281362531690126,4.4268553162218565
2026-03-15 05:30:00,0.6,storage,0.32597818877822393,46.280525858693444,28.778015358242698,27.21069230374143,1.567323054501265,4.051651198354434,0.37263242711630096,4.424283625470736
2026-03-15 06:00:00,0.6,storage,0.3257059499064307,46.24187443557852,28.76392856129923,27.196605506797965,1.567323054501265,4.04926208158211,0.3724513252085132,4.421713406790623
2026-03-15 06:30:00,0.6,storage,0.32543379247887727,46.203234575602,28.749848616926656,27.18252556242539,1.567323054501265,4.04687433981899,0.3722703195383134,4.419144659357303
2026-03-15 07:00:00,0.6,storage,0.3251617164711942,46.164606275304024,28.735775522078594,27.16845246757733,1.567323054501265,4.044487972296494,0.3720894100505109,4.416577382347004
2026-03-15 07:30:00,0.6,storage,0.3248897218590192,46.12598953122579,28.721709273709834,27.15438621920857,1.567323054501265,4.042102978246456,0.37190859668994813,4.414011574936404
2026-03-15 08:00:00,0.6,charging,0.34069483478012186,48.37016922999556,29.54365486505908,27.955258614510505,1.5883962505485683,4.176037467553917,0.3821057031242009,4.558143170678118
