hour_from_monday,outlet_temp_C,flow_exergy_to_factory_kW,useful_exergy_primary_kW,useful_exergy_fallback_kW,soc,target_soc
0.5,272.21270104833656,2107.0324957075504,2107.0324957075504,2107.0324957075504,0.5665448394642358,0.6
1.0,270.65040906201426,2074.2630107134005,2074.2630107134005,2074.2630107134005,0.550512241742314,0.6
1.5,268.99666960846827,2039.7943264490546,2039.7943264490546,2039.7943264490546,0.5346745917445546,0.6
2.0,267.25558023092447,2003.7289631244773,2003.7289631244773,2003.7289631244773,0.5190422935999455,0.6
2.5,265.43133928696784,1966.2083325356648,1966.2083325356648,1966.2083325356648,0.5036252170806789,0.6
3.0,263.5282367641395,1927.350275978388,1927.350275978388,1927.350275978388,0.48843269417031665,0.6
3.5,261.5506462775692,1887.2795179847963,1887.2795179847963,1887.2795179847963,0.4734735154832025,0.6
4.0,259.50301664039773,1846.1209719902567,1846.1209719902567,1846.1209719902567,0.4587559265726755,0.6
4.5,257.3898641995363,1803.9992683247679,1803.9992683247679,1803.9992683247679,0.4442876244477326,0.6
5.0,255.21576277349132,1761.038251287193,1761.038251287193,1761.038251287193,0.43007575442202306,0.6
5.5,252.9853349770129,1717.3605238531761,1717.3605238531761,1717.3605238531761,0.41612690751764836,0.6
6.0,250.70324200642935,1673.086983585011,1673.086983585011,1673.086983585011,0.4024471184410754,0.6
6.5,248.37417276107826,1628.3363700773652,1628.3363700773652,1628.3363700773652,0.3890418645143135,0.6
7.0,246.0028328723853,1583.2248371788328,1583.2248371788328,1583.2248371788328,0.37591606555733503,0.6
7.5,243.59393233435867,1537.865527029162,1537.865527029162,1537.865527029162,0.36307408478025216,0.6
8.0,241.1521732186674,1492.368176516098,1492.368176516098,1492.368176516098,0.3505197310084869,0.6
0.5,272.21270104833656,2107.0324957075504,2107.0324957075504,2107.0324957075504,0.5665448394642358,0.8
1.0,270.65040906201426,2074.2630107134005,2074.2630107134005,2074.2630107134005,0.550512241742314,0.8
1.5,268.99666960846827,2039.7943264490546,2039.7943264490546,2039.7943264490546,0.5346745917445546,0.8
2.0,267.25558023092447,2003.7289631244773,2003.7289631244773,2003.7289631244773,0.5190422935999455,0.8
2.5,265.43133928696784,1966.2083325356648,1966.2083325356648,1966.2083325356648,0.5036252170806789,0.8
3.0,263.5282367641395,1927.350275978388,1927.350275978388,1927.350275978388,0.48843269417031665,0.8
3.5,261.5506462775692,1887.2795179847963,1887.2795179847963,1887.2795179847963,0.4734735154832025,0.8
4.0,259.50301664039773,1846.1209719902567,1846.1209719902567,1846.1209719902567,0.4587559265726755,0.8
4.5,257.3898641995363,1803.9992683247679,1803.9992683247679,1803.9992683247679,0.4442876244477326,0.8
5.0,255.21576277349132,1761.038251287193,1761.038251287193,1761.038251287193,0.43007575442202306,0.8
5.5,252.9853349770129,1717.3605238531761,1717.3605238531761,1717.3605238531761,0.41612690751764836,0.8
6.0,250.70324200642935,1673.086983585011,1673.086983585011,1673.086983585011,0.4024471184410754,0.8
6.5,248.37417276107826,1628.3363700773652,1628.3363700773652,1628.3363700773652,0.3890418645143135,0.8
7.0,246.0028328723853,1583.2248371788328,1583.2248371788328,1583.2248371788328,0.37591606555733503,0.8
7.5,243.59393233435867,1537.865527029162,1537.865527029162,1537.865527029162,0.36307408478025216,0.8
8.0,241.1521732186674,1492.368176516098,1492.368176516098,1492.368176516098,0.3505197310084869,0.8
0.5,272.21270104833656,2107.0324957075504,2107.0324957075504,2107.0324957075504,0.5665448394642358,0.95
1.0,270.65040906201426,2074.2630107134005,2074.2630107134005,2074.2630107134005,0.550512241742314,0.95
1.5,268.99666960846827,2039.7943264490546,2039.7943264490546,2039.7943264490546,0.5346745917445546,0.95
2.0,267.25558023092447,2003.7289631244773,2003.7289631244773,2003.7289631244773,0.5190422935999455,0.95
2.5,265.43133928696784,1966.2083325356648,1966.2083325356648,1966.2083325356648,0.5036252170806789,0.95
3.0,263.5282367641395,1927.350275978388,1927.350275978388,1927.350275978388,0.48843269417031665,0.95
3.5,261.5506462775692,1887.2795179847963,1887.2795179847963,1887.2795179847963,0.4734735154832025,0.95
4.0,259.50301664039773,1846.1209719902567,1846.1209719902567,1846.1209719902567,0.4587559265726755,0.95
4.5,257.3898641995363,1803.9992683247679,1803.9992683247679,1803.9992683247679,0.4442876244477326,0.95
5.0,255.21576277349132,1761.038251287193,1761.038251287193,1761.038251287193,0.43007575442202306,0.95
5.5,252.9853349770129,1717.3605238531761,1717.3605238531761,1717.3605238531761,0.41612690751764836,0.95
6.0,250.70324200642935,1673.086983585011,1673.086983585011,1673.086983585011,0.4024471184410754,0.95
6.5,248.37417276107826,1628.3363700773652,1628.3363700773652,1628.3363700773652,0.3890418645143135,0.95
7.0,246.0028328723853,1583.2248371788328,1583.2248371788328,1583.2248371788328,0.37591606555733503,0.95
7.5,243.59393233435867,1537.865527029162,1537.865527029162,1537.865527029162,0.36307408478025216,0.95
8.0,241.1521732186674,1492.368176516098,1492.368176516098,1492.368176516098,0.3505197310084869,0.95
