timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,m_ctes_discharge_avail_m3s,m_recirc_m3s,m_oil_hex_m3s,htf_in_temp_C,hex_inlet_temp_C,mix_target_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_inlet_temp_C,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_htf_W,ctes_charge_inferred_W,ctes_charge_input_W,ctes_discharge_output_W,ctes_balance_residual_state_W,ctes_balance_residual_with_loss_W,hex_flow_balance_m3s,module_00_Ts_outlet_C,module_01_Ts_outlet_C,module_02_Ts_outlet_C,module_03_Ts_outlet_C,module_04_Ts_outlet_C,module_05_Ts_outlet_C,module_06_Ts_outlet_C,module_07_Ts_outlet_C,module_08_Ts_outlet_C,module_09_Ts_outlet_C,module_10_Ts_outlet_C,module_11_Ts_outlet_C,module_12_Ts_outlet_C,module_13_Ts_outlet_C,module_00_Tf_zL_C,module_01_Tf_zL_C,module_02_Tf_zL_C,module_03_Tf_zL_C,module_04_Tf_zL_C,module_05_Tf_zL_C,module_06_Tf_zL_C,module_07_Tf_zL_C,module_08_Tf_zL_C,module_09_Tf_zL_C,module_10_Tf_zL_C,module_11_Tf_zL_C,module_12_Tf_zL_C,module_13_Tf_zL_C,module_00_Ts_avg_C,module_01_Ts_avg_C,module_02_Ts_avg_C,module_03_Ts_avg_C,module_04_Ts_avg_C,module_05_Ts_avg_C,module_06_Ts_avg_C,module_07_Ts_avg_C,module_08_Ts_avg_C,module_09_Ts_avg_C,module_10_Ts_avg_C,module_11_Ts_avg_C,module_12_Ts_avg_C,module_13_Ts_avg_C
2026-07-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56759679862.83503,15.766577739676396,10.520535738734875,,,139.98901790359625,139.98901790359625,139.98901790359625,0.0,0.0,0.0,0.0,0.0,0.0,-0.008960512095033757,-53.763072570202546,0.0,1789.5106285724978,0.0,0.0,-51973.56194163005,1789.5106285724978,0.0,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,139.98901790359625,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962,139.9890179035962
2026-07-11 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56728498835.71519,15.757916343254218,10.514756264450003,,,139.97803690245502,139.97803690245502,139.97803690245502,0.0,0.0,0.0,0.0,0.0,0.0,-0.017920130543442485,-53.75771069045236,0.0,1789.3321573814756,0.0,0.0,-51968.378533070885,1789.3321573814756,0.0,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,139.97803690245502,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505,139.97803690245505
2026-07-11 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56697320918.33059,15.749255810647385,10.508977366561632,,,139.9670569964671,139.9670569964671,139.9670569964671,0.0,0.0,0.0,0.0,0.0,0.0,-0.02687885543435428,-53.752349345470776,0.0,1789.1537044744837,0.0,0.0,-51963.195640996295,1789.1537044744837,0.0,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,139.9670569964671,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705,139.96705699646705
2026-07-11 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56666146110.37109,15.740596141769748,10.503199045012275,,,139.95607818552332,139.95607818552332,139.95607818552332,0.0,0.0,0.0,0.0,0.0,0.0,-0.03583668685688833,-53.746988535204295,0.0,1788.9752693783885,0.0,0.0,-51958.01326582591,1788.9752693783885,0.0,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,139.95607818552332,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335,139.95607818552335
2026-07-11 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56634974411.52641,15.731937336535115,10.497421299744419,,,139.9451004695144,139.9451004695144,139.9451004695144,0.0,0.0,0.0,0.0,0.0,0.0,-0.04479362490015493,-53.741628259599565,0.0,1788.7968517982517,0.0,0.0,-51952.83140780131,1788.7968517982517,0.0,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,139.9451004695144,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436,139.94510046951436
2026-07-11 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56603805821.48655,15.723279394857375,10.491644130700605,,,139.93412384833115,139.93412384833115,139.93412384833115,0.0,0.0,0.0,0.0,0.0,0.0,-0.053749669653255484,-53.736268518603325,0.0,1788.618452164017,0.0,0.0,-51947.65006643931,1788.618452164017,0.0,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115,139.93412384833115
2026-07-11 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56572640339.94149,15.714622316650415,10.48586753782337,,,139.9231483218644,139.9231483218644,139.9231483218644,0.0,0.0,0.0,0.0,0.0,0.0,-0.06270482120528252,-53.730909312162204,0.0,1788.440070396864,0.0,0.0,-51942.46924176534,1788.440070396864,0.0,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,139.9231483218644,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443,139.92314832186443
2026-07-11 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56541477966.58114,15.705966101828094,10.480091521055241,,,139.91217389000496,139.91217389000496,139.91217389000496,0.0,0.0,0.0,0.0,0.0,0.0,-0.07165907964531966,-53.72555064022283,0.0,1788.2617063035577,0.0,0.0,-51937.28893391927,1788.2617063035577,0.0,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,139.91217389000496,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494,139.91217389000494
2026-07-11 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56510318701.09558,15.697310750304329,10.474316080338774,,,139.90120055264367,139.90120055264367,139.90120055264367,0.0,0.0,0.0,0.0,0.0,0.0,-0.08061244506244164,-53.720192502731926,0.0,1788.083360135999,0.0,0.0,-51932.109142595924,1788.083360135999,0.0,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,139.90120055264367,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437,139.9012005526437
2026-07-11 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56479162543.1747,15.688656261992971,10.468541215616483,,,139.89022830967133,139.89022830967133,139.89022830967133,0.0,0.0,0.0,0.0,0.0,0.0,-0.08956491754571434,-53.71483489963617,0.0,1787.9050314975466,0.0,0.0,-51926.92986813863,1787.9050314975466,0.0,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133,139.89022830967133
2026-07-11 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56448009492.50875,15.680002636807986,10.462766926830962,,,139.87925716097882,139.87925716097882,139.87925716097882,0.0,0.0,0.0,0.0,0.0,0.0,-0.09851649718419471,-53.70947783088218,0.0,1787.7267209705751,0.0,0.0,-51921.7511099116,1787.7267209705751,0.0,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882,139.87925716097882
2026-07-11 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,182.0,,140.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,-,0.0,56416859548.78771,15.671349874663253,10.456993213924747,,,139.86828710645702,139.86828710645702,139.86828710645702,0.0,0.0,0.0,0.0,0.0,0.0,-0.10746718406693083,-53.704121296416716,0.0,1787.5484280186793,0.0,0.0,-51916.572868398034,1787.5484280186793,0.0,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702,139.86828710645702
