timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,collector_curtailment_W,downstream_curtailment_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,collector_t_in_C,collector_solver_iters,collector_solver_dTin_C,collector_solver_dMcol_m3s,collector_solver_converged,m_col_avail_eff_m3s,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,m_ctes_discharge_avail_m3s,m_recirc_m3s,m_oil_hex_m3s,htf_in_temp_C,hex_inlet_temp_C,mix_target_C,mix_target_used_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_inlet_temp_C,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_htf_W,ctes_charge_inferred_W,ctes_charge_input_W,ctes_discharge_output_W,ctes_balance_residual_state_W,ctes_balance_residual_with_loss_W,hex_flow_balance_m3s,module_00_Ts_avg_C,module_01_Ts_avg_C,module_02_Ts_avg_C,module_03_Ts_avg_C,module_04_Ts_avg_C,module_05_Ts_avg_C,module_06_Ts_avg_C,module_07_Ts_avg_C,module_08_Ts_avg_C,module_09_Ts_avg_C,module_10_Ts_avg_C,module_11_Ts_avg_C,module_12_Ts_avg_C,module_13_Ts_avg_C,module_00_Ts_outlet_C,module_01_Ts_outlet_C,module_02_Ts_outlet_C,module_03_Ts_outlet_C,module_04_Ts_outlet_C,module_05_Ts_outlet_C,module_06_Ts_outlet_C,module_07_Ts_outlet_C,module_08_Ts_outlet_C,module_09_Ts_outlet_C,module_10_Ts_outlet_C,module_11_Ts_outlet_C,module_12_Ts_outlet_C,module_13_Ts_outlet_C
2026-07-13 07:30:00+00:00,1063.992,3301505.061005022,3301503.3364799996,2117088.9085673233,1184414.4279126762,0.0,1184416.1524376983,3301.5033364799997,3301.505061005022,3301503.3364799996,184.97970123845354,6,1.6044545130134509,0.00022773927281324532,False,0.012824546141318996,0.012824546141318996,0.011542091527187097,0.0,0.0012824546141318987,0.021,0.009457908472812904,0.021,222.14872667436404,264.980628817812,182.0,182.0,296.8426195802782,225.74382231222006,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.238514981325,True,1840878.2044686412,1840.8782044686411,B,0.0,233981383300.82376,64.99482869467327,43.36898148762722,296.8426195802782,163.27958030220893,299.15855756076087,180.8338385924143,165.44220037079975,0.0,0.0,0.0,0.0,0.0,0.0,-4.121972590118845,-84.24115948206725,276210.7040986823,276220.5645297255,276210.7040986823,0.0,-84231.29905102405,9.860431043198332,0.0,298.40518303881703,289.58406510582785,274.850630050941,255.15182133448255,232.66714600665958,210.16724471532132,189.9744157908226,173.43815171890836,160.9487025025589,152.2737532240732,147.0145268970719,145.10392084816885,147.39268836717312,156.6895502841771,295.15813440150157,283.32476101537213,265.91514263129517,244.40352373369174,221.45830278657326,199.77031167438898,181.22476883186272,166.66566592730808,156.10821927342215,149.1591637680658,145.4950980622885,145.38929589424134,150.39390899335825,165.44220037079975
2026-07-13 07:40:00+00:00,1072.972,3329368.015488395,3329367.73768,2119929.1305567967,1209438.607123203,0.0,1209438.8849315983,3329.3677376799997,3329.368015488395,3329367.73768,185.02797242578686,6,1.630446690808327,0.00023376152996036278,False,0.012939552795166566,0.012939552795166566,0.01164559751564991,0.0,0.0012939552795166558,0.021,0.00935440248435009,0.021,222.7129209721819,265.6042306773178,182.0,182.0,296.8331230893847,226.38441446102482,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.22152395222332,True,1840878.2044686412,1840.8782044686411,B,0.0,234098263155.67892,65.02729532102192,43.39064543451898,296.8331230893847,163.12711883031622,299.02565735429664,180.9165327732508,165.29256808887195,0.0,0.0,0.0,0.0,0.0,0.0,-4.136016119537239,-84.26117651036522,279050.92608815554,279060.9346023045,279050.92608815554,0.0,-84251.16799621625,10.00851414896897,0.0,298.3846782872093,289.6272302074812,274.92903656482224,255.25807825918952,232.78586345773047,210.2819762680484,190.07299920950942,173.5145584486773,161.002054152297,152.30592228696807,147.02728863858619,145.09578826546797,147.35486298771218,156.595336707418,295.1836763637698,283.3854519767533,266.0093769930286,244.51897030125212,221.5778970864967,199.87904543352636,181.31339869401708,166.7309687336671,156.15109854467994,149.18193671132562,145.49852746041591,145.36912255776625,150.33573922126004,165.29256808887195
2026-07-13 07:50:00+00:00,1081.092,3354565.1841233885,3354563.6104800003,2122521.916664294,1232041.6938157063,0.0,1232043.2674590948,3354.56361048,3354.5651841233885,3354563.6104800003,185.07052333382524,6,1.6533587182136102,0.0002391830789466448,False,0.01304349511181947,0.01304349511181947,0.011739145600637524,0.0,0.0013043495111819473,0.021,0.009260854399362478,0.021,223.21227092053118,266.15841082736216,182.0,182.0,296.8248209578604,226.9536299303374,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.20648797827704,True,1840878.2044686412,1840.8782044686411,B,0.0,234216686590.84683,65.06019071967968,43.41259548753194,296.8248209578604,162.97646868165495,298.8982806825942,181.00050169502467,165.1428483837523,0.0,0.0,0.0,0.0,0.0,0.0,-4.150063030201892,-84.28146398791415,281643.71219565254,281653.855934427,281643.71219565254,0.0,-84271.32024913968,10.143738774466328,0.0,298.36398979766665,289.6707311699243,275.00807659029414,255.36527016697457,232.90572163126575,210.39790346030927,190.17269250278034,173.59189823926715,161.05612746878265,152.33860896734868,147.04039068216636,145.08784116570635,147.3170625789215,156.5009868681813,295.20939300680806,283.44663485527735,266.10442570303985,244.63550590144868,221.69871711913896,199.98898276100743,181.4030874947258,166.79712256301804,156.19461039012546,149.20514513646236,145.50222432138932,145.34906102396695,150.2774995513641,165.1428483837523
2026-07-13 08:00:00+00:00,1088.444,3377378.7931147697,3377376.4253599998,2124894.5371662537,1252481.888193746,0.0,1252484.255948516,3377.3764253599998,3377.37879311477,3377376.4253599998,185.10818375296338,6,1.6736374054418377,0.00024407292006739002,False,0.013137566748010532,0.013137566748010532,0.011823810073209479,0.0,0.0013137566748010528,0.021,0.009176189926790522,0.021,223.65553167341955,266.65235366864493,182.0,182.0,296.8174538858732,227.46092347677,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1931366918017,True,1840878.2044686412,1840.8782044686411,B,0.0,234336521351.56708,65.09347815321308,43.434807132945494,296.8174538858732,162.82750361985242,298.7762608090133,181.08565450916146,164.9931513086539,0.0,0.0,0.0,0.0,0.0,0.0,-4.1641133633696406,-84.30199900649292,284016.33269761247,284026.60020690184,284016.33269761247,0.0,-84291.73149720352,10.267509289391455,0.0,298.34312056698184,289.7145082307681,275.08766301863096,255.47328880761395,233.0266048840869,210.51491708496582,190.2734025021728,173.67009816869495,161.1108697323706,152.37177861862307,147.05381464688332,145.08007855135148,147.2793108581945,156.40657009435918,295.2352326061032,283.50823679438105,266.2001892654068,244.7530158947816,221.82064788490771,200.10002059331038,181.49375111579477,166.8640641185706,156.2387109013104,149.2287621331804,145.50617784629213,145.32912004367824,150.21923003123837,164.9931513086539
2026-07-13 08:10:00+00:00,1095.106,3398045.7100207563,3398048.2116399994,2127069.922723891,1270978.2889161082,2.5016192430630326,1270975.7872968654,3398.0482116399994,3398.0457100207564,3398048.2116399994,185.14161398720384,6,1.691638300802083,0.00024848807234316775,False,0.013222776905092628,0.013222776905092628,0.011900499214583365,0.0,0.0013222776905092628,0.021,0.009099500785416636,0.021,224.0497748450826,267.0934988346459,182.0,182.0,296.8107400045915,227.91395223590706,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.18125258122214,True,1840878.2044686412,1840.8782044686411,B,0.0,234457648954.5125,65.12712470958681,43.457258409605515,296.8107400045915,162.68012020312824,298.6594188398477,181.17190884368185,164.84357348186538,0.0,0.0,0.0,0.0,0.0,0.0,-4.178167156872845,-84.3227610192247,286191.7182552498,286202.09926161566,286191.7182552498,0.0,-84312.38001285883,10.38100636586023,0.0,298.32207306091556,289.75850792440605,275.16771807529426,255.58203740274365,233.14840974402256,210.63291938212862,190.37504578391892,173.7490929334627,161.1662337252731,152.40540019600013,147.06754402325518,145.07249940929722,147.241628795243,156.31214764703628,295.2611480758952,283.5701927652873,266.2965787241334,244.8713976728505,221.94358638425894,200.21206658558674,181.5853141710672,166.9317366659887,156.28336071190705,149.25276354942764,145.51037827373062,145.30930726959892,150.16096612173942,164.84357348186538
2026-07-13 08:20:00+00:00,1101.146,3416790.967622915,3416789.9692399995,2129068.0739299017,1287721.8953100978,0.0,1287722.8936930131,3416.7899692399997,3416.7909676229146,3416789.9692399995,185.17134736984715,6,1.70764858376387,0.0002524765685894756,False,0.013300002322869351,0.013300002322869351,0.011970002090582417,0.0,0.001330000232286934,0.021,0.009029997909417584,0.021,224.40145050900733,267.4886426500959,182.0,182.0,296.80499961830765,228.31970840961878,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.17063976086988,True,1840878.2044686412,1840.8782044686411,B,0.0,234579962928.418,65.16110081344945,43.47992958282089,296.80499961830765,162.53423130457668,298.54758850060244,181.25918968712617,164.69420003170256,0.0,0.0,0.0,0.0,0.0,0.0,-4.19222444546479,-84.34373155167265,288189.86946126044,288200.3547274844,288189.86946126044,0.0,-84333.24628544867,10.4852662239864,0.0,298.3008507053629,289.8026821812718,275.2481719937929,255.69142901230418,233.27104317262055,210.75182240147979,190.47754727196786,173.82882375433533,161.2221769399055,152.43944573704522,147.08156390174207,145.06510270903752,147.20403499942208,156.217773870202,295.2870963171772,283.6324444501402,266.39351415714805,244.99055893522146,222.06743989502996,200.3250375696607,181.67770874780652,167.00008908583226,156.32852434071026,149.27712759136077,145.51481672751257,145.28962941060914,150.10273935197065,164.69420003170256
2026-07-13 08:30:00+00:00,1106.621,3433780.328630767,3433778.5657400005,2130905.944104233,1302872.6216357676,0.0,1302874.384526534,3433.7785657400004,3433.7803286307667,3433778.5657400005,185.19787035828017,6,1.721930192920098,0.0002560831606738933,False,0.013369985112632089,0.013369985112632089,0.01203298660136888,0.0,0.0013369985112632078,0.021,0.00896701339863112,0.021,224.71518929077828,267.8426881997362,182.0,182.0,296.7998039109674,228.68323684574713,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1611564614715,True,1840878.2044686412,1840.8782044686411,B,0.0,234703366984.57162,65.19537971793656,43.50280280525988,296.7998039109674,162.389765625485,298.440592256842,181.3474283495678,164.54510626215014,0.0,0.0,0.0,0.0,0.0,0.0,-4.206285261110472,-84.36489387409226,290027.7396355916,290038.3207968014,290027.7396355916,0.0,-84354.31271288247,10.58116120978957,0.0,298.27945697113756,289.84698755204903,275.3289618705067,255.80138512194463,233.39442106096809,210.871546582775,190.58083902594294,173.90923742613822,161.27866089081544,152.4738899096349,147.09586073558495,145.05788739875405,147.16654605160264,156.12349717853172,295.31303765256405,283.6949392811242,266.4909233793387,245.11041620404657,222.19212448621994,200.43885822271162,181.77087331934524,167.06907505444687,156.37416962331062,149.30183447684118,145.5194850837811,145.27009236287932,150.04457788067683,164.54510626215014
2026-07-13 08:40:00+00:00,1111.58,3449165.5021935063,3449166.0451999996,2132597.6645545186,1316568.380645481,0.5430064932443202,1316567.8376389875,3449.1660451999996,3449.165502193506,3449166.0451999996,185.22153218914738,6,1.7346711787716629,0.00025934121344695776,False,0.013433354699115744,0.013433354699115744,0.01209001922920417,0.0,0.0013433354699115743,0.021,0.008909980770795831,0.021,224.9951006167087,268.1599881496222,182.0,182.0,296.79507683730026,229.0090148557884,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1526780321588,True,1840878.2044686412,1840.8782044686411,B,0.0,234827773322.64597,65.22993703406833,43.525861802932155,296.79507683730026,162.24666516727987,298.3382504888689,181.4365615523646,164.39635910920316,0.0,0.0,0.0,0.0,0.0,0.0,-4.220349633229894,-84.38623271652712,291719.46008587774,291730.12950709515,291719.46008587774,0.0,-84375.5632953097,10.669421217418858,0.0,298.25789478982153,289.8913845230332,275.41003065038984,255.91183438845937,233.51846689054162,210.99201948940973,190.6848591577891,173.9902854670222,161.3356504976052,152.50870960557717,147.11042212606915,145.0508523977695,147.12917679350082,156.02936092314965,295.338935344195,283.757629590275,266.58874079168254,245.23089350248938,222.31756369260557,200.55345987765006,181.86475177175035,167.1386523095412,156.42026720158137,149.3268661230637,145.5243758489861,145.25070132186465,149.98650698805767,164.39635910920316
2026-07-13 08:50:00+00:00,1116.067,3463090.644734757,3463088.9369799998,2134155.8624622864,1328933.0745177134,0.0,1328934.7822724706,3463.0889369799997,3463.090644734757,3463088.9369799998,185.2426427908224,6,1.7460384258274644,0.0002622813895195291,False,0.013490677274609042,0.013490677274609042,0.012141609547148137,0.0,0.0013490677274609047,0.021,0.008858390452851864,0.021,225.24497169249702,268.44456084877714,182.0,182.0,296.79098463054277,229.30117459825203,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1450906584899,True,1840878.2044686412,1840.8782044686411,B,0.0,234953101727.39114,65.26475047983088,43.54909170775873,296.79098463054277,162.1048792516422,298.24039430873677,181.52653083026456,164.24801822293378,0.0,0.0,0.0,0.0,0.0,0.0,-4.234417588916588,-84.407734120169,293277.6579936451,293288.40869546606,293277.6579936451,0.0,-84396.98341834807,10.750701820928953,0.0,298.2361677500399,289.935837015958,275.4913263876782,256.0227117287557,233.64311076384385,211.11317489417797,190.78955105152085,174.07192350701774,161.39311364234098,152.54388365001722,147.12523667038323,145.04399659490414,147.0919405430003,155.93540403128782,295.36475523819473,283.8204719854447,266.686906539169,245.351921390265,222.4436875496087,200.66877965842812,181.95929269745469,167.20878211796781,156.46679015433054,149.35220592130932,145.52948207344016,145.23146086735093,149.92854944025225,164.24801822293378
2026-07-13 09:00:00+00:00,1120.119,3475661.213343975,3475662.0498599997,2135591.3206125735,1340070.7292474261,0.8365160245448351,1340069.8927314016,3475.6620498599996,3475.6612133439753,3475662.0498599997,185.26148779015764,6,1.7561857331618,0.0002649321227034124,False,0.013542433223807611,0.013542433223807611,0.01218818990142685,0.0,0.0013542433223807607,0.021,0.008811810098573151,0.021,225.46749467938727,268.69927872288474,182.0,182.0,296.78719530232934,229.56267027537248,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.13831256035334,True,1840878.2044686412,1840.8782044686411,B,0.0,235079278461.27023,65.29979957257507,43.57247885231944,296.78719530232934,161.96436633129733,298.1468481344099,181.61728189939103,164.1001369221754,0.0,0.0,0.0,0.0,0.0,0.0,-4.248489153122821,-84.42938523739794,294713.1161439324,294723.94170254684,294713.1161439324,0.0,-84418.55967878347,10.82555861446599,0.0,298.2142792373209,289.98031194448345,275.57280158805827,256.1339575084121,233.76828854021034,211.23495196353636,190.89486266650985,174.15411074167324,161.4510207737947,152.5793925413467,147.14029382507988,145.03731884605426,147.05484928475744,155.8416615737643,295.3904654501171,283.88342679958424,266.7853657677758,245.47343611267155,222.5704317417612,200.78475971713482,182.05444877203675,167.2794288061493,156.5137136714235,149.37783853820983,145.53479727505854,145.21237503852066,149.87072581096706,164.1001369221754
2026-07-13 09:10:00+00:00,1123.768,3486982.969745506,3486984.67792,2136913.255041558,1350071.4228784423,1.7081744940951467,1350069.7147039482,3486.98467792,3486.982969745506,3486984.67792,185.27827022696746,6,1.7652224299055774,0.00026731448943488785,False,0.013589032198992648,0.013589032198992648,0.012230128979093383,0.0,0.0013589032198992653,0.021,0.008769871020906619,0.021,225.66534839660468,268.9269905898029,182.0,182.0,296.7838604703046,229.7964307311545,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.13226370811773,True,1840878.2044686412,1840.8782044686411,B,0.0,235206235323.789,65.33506536771917,43.59601059549759,296.7838604703046,161.825092699825,298.05744546737805,181.70876408049284,163.9527630812675,0.0,0.0,0.0,0.0,0.0,0.0,-4.262564348819356,-84.45117417920764,296035.05057291663,296045.94504382147,296035.05057291663,0.0,-84440.27970830278,10.894470904851914,0.0,298.19223275990777,290.0247787956882,275.6544125843059,256.2455167679512,233.89394100838726,211.35729447378398,191.00074586594445,174.23680940395545,161.50934452383729,152.61521819808067,147.1555837715964,145.03081796762638,147.01791384628282,155.74816529410367,295.41603608246425,283.9464575689235,266.8840679169493,245.59537878663818,222.69773678503444,200.90134649896635,182.15017615200048,167.35055930508517,156.5610147370471,149.40374972143195,145.54031536246464,145.19344740092885,149.81305478118017,163.9527630812675
2026-07-13 09:20:00+00:00,1127.042,3497145.113354829,3497143.703479999,2138129.846567438,1359013.8569125612,0.0,1359015.2667873912,3497.143703479999,3497.145113354829,3497143.703479999,185.29319213482603,6,1.7732573033678705,0.00026944950298787504,False,0.013630836791553852,0.013630836791553852,0.012267753112398467,0.0,0.0013630836791553858,0.021,0.008732246887601535,0.021,225.84074421519554,269.1300557993376,182.0,182.0,296.78100795314765,230.00488141014404,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.12687800416506,True,1840878.2044686412,1840.8782044686411,B,0.0,235333909029.82242,65.37053028606178,43.61967520725135,296.78100795314765,161.68702978725705,297.97202754874996,181.80092987273918,163.8059398305292,0.0,0.0,0.0,0.0,0.0,0.0,-4.276643197137189,-84.47308990699656,297251.64209879667,297262.59996269114,297251.64209879667,0.0,-84462.13204310209,10.957863894480397,0.0,298.1700325095564,290.0692093023705,275.73611904740005,256.3573386178725,234.0200132403133,211.48015019944884,191.10715589320577,174.31998435272322,161.56805940868935,152.651343761913,147.17109731194267,145.02449273231142,146.98114403694737,155.65494402516433,295.4414390035351,284.0095306224996,266.9829661636258,245.7176947615059,222.8255473849735,201.01849016540143,182.24643400227134,167.42214279342073,156.60867188129,149.42992614736295,145.5460305749365,145.1746810996302,149.7555533755047,163.8059398305292
2026-07-13 09:30:00+00:00,1129.966,3506218.661797716,3506216.700039999,2139248.068484019,1366968.63155598,0.0,1366970.5933136968,3506.216700039999,3506.218661797716,3506216.700039999,185.30642029288444,6,1.7803801577069862,0.0002713550736914358,False,0.013668169295214064,0.013668169295214064,0.012301352365692658,0.0,0.0013668169295214059,0.021,0.008698647634307343,0.021,225.9953570782614,269.3102727136354,182.0,182.0,296.77841334260404,230.18987117312568,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1221049476586,True,1840878.2044686412,1840.8782044686411,B,0.0,235462240484.62875,65.40617791239687,43.643461734235935,296.77841334260404,161.55015297693905,297.8904326687977,181.89373461396355,163.65970610922037,0.0,0.0,0.0,0.0,0.0,0.0,-4.290725717487629,-84.495122102641,298369.8640153778,298380.88011320005,298369.8640153778,0.0,-84484.10600481875,11.016097822255688,0.0,298.14768244537896,290.11357718867737,275.8178836067113,256.4693757704443,234.14645409258512,211.60347044271018,191.21405096990068,174.4036027574396,161.62714160048924,152.68775344756594,147.18682578990038,145.0183418678067,146.94454875833804,155.56202401751662,295.4666476726813,284.07261476308,267.0820169918646,245.8403331259334,222.9538119429855,201.13614415158094,182.3431841343652,167.4941504246264,156.65666499066495,149.4563553054312,145.5519374378259,145.1560789023767,149.69823714822854,163.65970610922037
2026-07-13 09:40:00+00:00,1132.56,3514267.0982887032,3514265.7263999996,2140273.740836828,1373991.9855631716,0.0,1373993.3574518755,3514.2657263999995,3514.2670982887034,3514265.7263999996,185.31808102349322,6,1.7866590126501762,0.00027304487136817733,False,0.013701286470530117,0.013701286470530117,0.012331157823477105,0.0,0.0013701286470530118,0.021,0.008668842176522897,0.021,226.13072058603206,269.4692792543776,182.0,182.0,296.77609406463034,230.35308362772344,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1178988506663,True,1840878.2044686412,1840.8782044686411,B,0.0,235591174091.5027,65.44199280319519,43.6673598714756,296.77609406463034,161.41444444200923,297.8125041142452,181.98713601403543,163.51409726812813,0.0,0.0,0.0,0.0,0.0,0.0,-4.304811927663289,-84.51726105395917,299395.5363681866,299406.60584384564,299395.5363681866,0.0,-84506.19157830012,11.069475659052841,0.0,298.12518633753996,290.15785788205244,275.8996714151794,256.58158399832814,234.2732156249619,211.72720948036653,191.32139182037042,174.4876337230339,161.68656865391176,152.72443236160495,147.20276099358313,145.01236404907362,146.90813612354256,155.46942930193947,295.49163695131915,284.1356809070623,267.1811797027305,245.96324614185687,223.08248198571422,201.25426465174786,182.4403905836139,167.56655500673557,156.70497508450782,149.48302536019835,145.55803070658044,145.1376432433131,149.64112038718784,163.51409726812813
2026-07-13 09:50:00+00:00,1134.844,3521353.8029739,3521352.84136,2141212.2010120964,1380140.6403479036,0.0,1380141.6019618036,3521.35284136,3521.3538029739,3521352.84136,185.3282899890804,6,1.7921561479663524,0.00027453210778947273,False,0.013730444257854059,0.013730444257854059,0.012357399832068653,0.0,0.0013730444257854055,0.021,0.008642600167931348,0.021,226.2482909440432,269.60863797594646,182.0,182.0,296.77406609914465,230.4961245469396,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.11421649268627,True,1840878.2044686412,1840.8782044686411,B,0.0,235720657461.83084,65.47796040606413,43.6913599086217,296.77406609914465,161.2798864368123,297.7380918394196,182.08109401100467,163.36914543961205,0.0,0.0,0.0,0.0,0.0,0.0,-4.318901843930917,-84.53949760576592,300333.99654345505,300345.11481935845,300333.99654345505,0.0,-84528.37932986254,11.11827590338362,0.0,298.10254820740715,290.2020283468901,275.98144989853967,256.6939218260205,234.4002527722356,211.85132425437638,191.42914140750656,174.57204808277137,161.7463193561567,152.7613664039049,147.21889510388343,145.00655789796934,146.8719135306668,155.37718190753085,295.5163829982906,284.19870187074787,267.2804161259911,246.08638891387363,223.2115118336503,201.37281032180616,182.53801936573026,167.63933081857996,156.75358418719057,149.50992507319367,145.5643053363798,145.11937625153612,149.58421623801647,163.36914543961205
2026-07-13 10:00:00+00:00,1136.831,3527520.382570033,3527518.383139999,2142067.7829345195,1385450.6002054797,0.0,1385452.5996355135,3527.518383139999,3527.520382570033,3527518.383139999,185.337157015052,6,1.796930700412588,0.00027582820426545404,False,0.013755813684304608,0.013755813684304608,0.012380232315874148,0.0,0.0013755813684304605,0.021,0.008619767684125854,0.021,226.34909183300246,269.7294407729691,182.0,182.0,296.7723446519765,230.62011622054632,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.1110274772499,True,1840878.2044686412,1840.8782044686411,B,0.0,235850640812.71198,65.51406689241999,43.7154526183003,296.7723446519765,161.14646972947764,297.66705235524665,182.1755702562001,163.22488006246763,0.0,0.0,0.0,0.0,0.0,0.0,-4.332995481106841,-84.56182305554374,301189.5784658782,301200.74119076715,301189.5784658782,0.0,-84550.66033065482,11.162724888927187,0.0,298.0797723973027,290.24606682812765,276.06318836394104,256.80635003944946,234.52752281445925,211.97577386548147,191.53726449545155,174.6568180518771,161.80637347353334,152.79854209879738,147.23522060231136,145.0009219725105,146.835887766161,155.28530218076278,295.54086310530494,284.26165205041195,267.3796901823672,246.20971888119183,223.3408580867523,201.491741813735,182.63603809300176,167.7124533181512,156.80247512380984,149.53704367611843,145.57075642914276,145.10127978709065,149.52753688201219,163.22488006246763
2026-07-13 10:10:00+00:00,1138.536,3532805.720657678,3532808.8958399994,2142844.0890651564,1389964.806774843,3.175182321574539,1389961.6315925214,3532.8088958399994,3532.8057206576777,3532808.8958399994,185.3447593062713,6,1.8010242418383768,0.00027694242647630964,False,0.013777585622603249,0.013777585622603249,0.012399827060342924,0.0,0.0013777585622603249,0.021,0.008600172939657078,0.021,226.43393782443653,269.832572051636,182.0,182.0,296.77069308648777,230.7259676695532,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.10830718846643,True,1840878.2044686412,1840.8782044686411,B,0.0,235981076527.83118,65.55029903550866,43.73962917471914,296.77069308648777,161.01418343758678,297.5992386638491,182.2705280596881,163.08132816889102,0.0,0.0,0.0,0.0,0.0,0.0,-4.347092852619087,-84.58422907348094,301965.8845965151,301977.0876054837,301965.8845965151,0.0,-84573.02606451232,11.203008968615904,0.0,298.05686278586484,290.28995272150286,276.14485780044646,256.9188314386,234.65498511194184,212.1005193216118,191.64572743352105,174.7419170571849,161.86671162739913,152.83594651295383,147.25173022709194,144.99545476414352,146.80006506071467,155.1938089542803,295.5650556195339,284.32450725083663,267.4789676499659,246.33319554723928,223.47047935110407,201.61102152838566,182.73441577059933,167.78589898786467,156.85163141183105,149.5643708037204,145.57737920581266,145.0833554610144,149.47109363257096,163.08132816889102
2026-07-13 10:20:00+00:00,1139.97,3537261.772672938,3537258.5118,2143544.635931492,1393713.8758685081,0.0,1393717.1367414466,3537.2585118,3537.261772672938,3537258.5118,185.35115829681922,6,1.8044698521334226,0.00027788191077596225,False,0.013795900616914762,0.013795900616914762,0.012416310555223286,0.0,0.0013795900616914766,0.021,0.008583689444776716,0.021,226.50410702498053,269.9193850424511,182.0,182.0,296.7696144893496,230.8150688348239,140.0,1840878.2044686412,1840.8782044686411,1840878.2044686412,1840.8782044686411,0.0,0.0,0.0,184.10601891437756,True,1840878.2044686412,1840.8782044686411,B,0.0,236111919105.67453,65.5866441960207,43.76388114406914,296.7696144893496,160.88302108027938,297.5345277576267,182.36593210928928,162.93851466369983,0.0,0.0,0.0,0.0,0.0,0.0,-4.361193970570373,-84.606707707709,302666.4314628504,302677.6707799645,302666.4314628504,0.0,-84595.46839059496,11.239317114042933,0.0,298.0338244324735,290.3336664450093,276.22643068110625,257.03133059213366,234.78260084238306,212.225523288283,191.75449794178542,174.8273195680495,161.92731517098355,152.87356717385302,147.26841692960394,144.99015469513188,146.76445114498753,155.102719715476,295.5889398685824,284.38724452301363,267.57821594484415,246.45678022730803,223.60033598524342,201.7306133871668,182.83312260922222,167.85964519276325,156.90103716220617,149.59189643302716,145.5841689822513,145.06560465619998,149.41489702871417,162.93851466369983
