timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,m_ctes_discharge_avail_m3s,m_recirc_m3s,m_oil_hex_m3s,htf_in_temp_C,hex_inlet_temp_C,mix_target_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_inlet_temp_C,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_htf_W,ctes_charge_inferred_W,ctes_charge_input_W,ctes_discharge_output_W,ctes_balance_residual_state_W,ctes_balance_residual_with_loss_W,hex_flow_balance_m3s,T_con_avg_K,ex_stored_J,dex_stored_dt_W,Q_loss_W,X_loss_W,ex_in_W,ex_out_W,ex_dest_W,config
2026-07-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255505047803.7289,70.97362438992471,49.98946618591658,,,219.98103913464988,219.98103913464988,219.98103913464988,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.0154705491981123,-92.823295188674,0.0,3089.634736759516,0.0,0.0,-89733.66045191447,3089.634736759516,0.0,493.1310391346499,134925167888.5029,0.0,92823.29518867399,37642.93373280192,0.0,0.0,0.0,standby
2026-07-11 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255451212977.4027,70.95867027150075,49.978933422460855,,,219.96208016042957,219.96208016042957,219.96208016042957,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.0309395553856166,-92.8140371250259,0.0,3089.326581304384,0.0,0.0,-89724.71054372152,3089.326581304384,0.0,493.1120801604295,134903336690.9589,-36385.32924001058,92814.0371250259,37637.0579393825,0.0,0.0,0.0,standby
2026-07-11 00:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255397383520.4855,70.94371764457931,49.96840170952798,,,219.94312307715035,219.94312307715035,219.94312307715035,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.0464070187164443,-92.80477998496616,0.0,3089.018456289806,0.0,0.0,-89715.76152867635,3089.018456289806,0.0,493.0931230771503,134881508901.12961,-36379.64971547445,92804.77998496615,37631.18299213978,0.0,0.0,0.0,standby
2026-07-11 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255343559432.4415,70.92876650901152,49.95787104701313,,,219.92416788462367,219.92416788462367,219.92416788462367,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.0618729393445114,-92.79552376840248,0.0,3088.7103617252437,0.0,0.0,-89706.81340667725,3088.7103617252437,0.0,493.07416788462365,134859684518.52441,-36373.97100865682,92795.52376840248,37625.308890967404,0.0,0.0,0.0,standby
2026-07-11 00:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255289740712.73557,70.91381686464877,49.947341434811584,,,219.90521458266088,219.90521458266088,219.90521458266088,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.0773373174237185,-92.78626847524276,0.0,3088.402298637535,0.0,0.0,-89697.86617660522,3088.402298637535,0.0,493.0552145826608,134837863542.65237,-36368.29312006632,92786.26847524276,37619.43563575907,0.0,0.0,0.0,standby
2026-07-11 00:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255235927360.8319,70.8988687113422,49.936812872818535,,,219.88626317107332,219.88626317107332,219.88626317107332,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.092800153107951,-92.77701410539476,0.0,3088.094266018961,0.0,0.0,-89688.91983937581,3088.094266018961,0.0,493.0362631710733,134816045973.02332,-36362.616048431395,92777.01410539476,37613.56322640845,0.0,0.0,0.0,standby
2026-07-11 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255182119376.1948,70.88392204894299,49.92628536092917,,,219.86731364967247,219.86731364967247,219.86731364967247,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.1082614465510787,-92.76776065876636,0.0,3087.7862635738857,0.0,0.0,-89679.97439519246,3087.7862635738857,0.0,493.0173136496725,134794231809.14627,-36356.93979507446,92767.76065876636,37607.69166280926,0.0,0.0,0.0,standby
2026-07-11 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255128316758.2892,70.86897687730256,49.91575889903879,,,219.8483660182698,219.8483660182698,219.8483660182698,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.1237211979069562,-92.75850813526536,0.0,3087.4782926343614,0.0,0.0,-89671.02984263102,3087.4782926343614,0.0,492.99836601826973,134772421050.53085,-36351.26435902913,92758.50813526537,37601.82094485521,0.0,0.0,0.0,standby
2026-07-11 01:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255074519506.5793,70.85403319627203,49.905233487042565,,,219.8294202766767,219.8294202766767,219.8294202766767,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.1391794073294229,-92.74925653479968,0.0,3087.1703516331618,0.0,0.0,-89662.08618316651,3087.1703516331618,0.0,492.9794202766767,134750613696.68689,-36345.58973993937,92749.25653479969,37595.95107244004,0.0,0.0,0.0,standby
2026-07-11 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,182.0,,220.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1840878.2044686407,1840.878204468641,-,-1840878.2044686407,255020727620.5304,70.83909100570288,49.89470912483589,,,219.8104764247046,219.8104764247046,219.8104764247046,0.0,0.0,1840878.2044686407,1840.878204468641,0.0,0.0,-0.1546360749723024,-92.74000585727713,0.0,3086.862442360114,0.0,0.0,-89653.143414917,3086.862442360114,0.0,492.96047642470455,134728809747.12354,-36339.915938924154,92740.00585727712,37590.08204545745,0.0,0.0,0.0,standby
