timestamp,dni_W_m2,solar_power_W,solar_power_raw_W,solar_power_effective_W,solar_power_curtailed_W,solar_power_kW,solar_power_absorbed_kW,solar_power_available_W,m_col_vol_flow_m3s,m_col_use_m3s,m_ctes_use_m3s,m_ctes_charge_use_m3s,m_ctes_discharge_avail_m3s,m_oil_hex_m3s,htf_in_temp_C,collector_t_out_C,oil_out_C,water_out_C,provided_W,provided_kW,solar_contribution_W,solar_to_factory_kW,ctes_contribution_W,ctes_to_factory_kW,remaining_solar_W,required_oil_in_C,hex_temp_sufficient,factory_load_W,factory_load_kW,operation_mode,net_power_W,ctes_energy_J,ctes_energy_MWh,ctes_soc_pct,ctes_temp_C,concrete_T_z0_C,concrete_T_z_mid_C,concrete_T_z_max_C,provided_from_ctes_W,provided_from_ctes_kW,backup_heater_W,backup_heater_kW,tolerated_deficit_W,tolerated_deficit_cumulative_MWh,ctes_loss_cumulative_MWh,ctes_current_loss_kW,ctes_charge_input_W,ctes_discharge_output_W
2026-07-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-28352217.314898238,-0.007875615920805067,-0.005547100618722803,,129.9900152188863,129.9900152188863,129.9900152188863,0.0,0.0,0.0,0.0,0.0,0.0,-0.008146782604558558,-48.88069562735134,0.0,0.0
2026-07-11 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-56701607.02169472,-0.0157504463949152,-0.011093648016987518,,129.98003143356942,129.98003143356942,129.98003143356942,0.0,0.0,0.0,0.0,0.0,0.0,-0.016292752718576414,-48.87582068410715,0.0,0.0
2026-07-11 00:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-85048169.40245232,-0.0236244915006812,-0.01663964224997964,,129.97004864395004,129.97004864395004,129.97004864395004,0.0,0.0,0.0,0.0,0.0,0.0,-0.024437910423084613,-48.87094622704921,0.0,0.0
2026-07-11 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-113391904.73915307,-0.031497751316431406,-0.022185083372868848,,129.96006684992884,129.96006684992884,129.96006684992884,0.0,0.0,0.0,0.0,0.0,0.0,-0.03258225579910611,-48.866072256128994,0.0,0.0
2026-07-11 00:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-141732813.31369844,-0.03937022592047179,-0.02772997144080906,,129.95008605140654,129.95008605140654,129.95008605140654,0.0,0.0,0.0,0.0,0.0,0.0,-0.04072578892765579,-48.861198771298085,0.0,0.0
2026-07-11 00:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-170070895.40782854,-0.04724191539106348,-0.033274306508922616,,129.94010624828394,129.94010624828394,129.94010624828394,0.0,0.0,0.0,0.0,0.0,0.0,-0.04886850988974045,-48.856325772507994,0.0,0.0
2026-07-11 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-198406151.30368674,-0.05511281980657965,-0.03881808863241076,,129.93012744046166,129.93012744046166,129.93012744046166,0.0,0.0,0.0,0.0,0.0,0.0,-0.05701041876635881,-48.85145325971013,0.0,0.0
2026-07-11 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-226738581.28309378,-0.06298293924530383,-0.04436131786641162,,129.92014962784046,129.92014962784046,129.92014962784046,0.0,0.0,0.0,0.0,0.0,0.0,-0.06515151563850148,-48.84658123285603,0.0,0.0
2026-07-11 01:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-255068185.62778974,-0.07085227378549715,-0.04990399426604753,,129.91017281032111,129.91017281032111,129.91017281032111,0.0,0.0,0.0,0.0,0.0,0.0,-0.07329180058715104,-48.84170969189732,0.0,0.0
2026-07-11 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,130.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,-,0.0,-283394964.6196761,-0.07872082350546558,-0.055446117886472426,,129.90019698780435,129.90019698780435,129.90019698780435,0.0,0.0,0.0,0.0,0.0,0.0,-0.08143127369328194,-48.83683863678541,0.0,0.0
